AREA;ANO
Redes Sociais, Contágio e Difusão;2015
Comunidades Virtuais e Subculturas;2015
Internet e Política;2015
Estética, Design e Cultura Popular;2013
Teoria da Narrativa e Linguagem;2013
Estética, Design e Cultura Popular;2015
Estética, Design e Cultura Popular;2015
Estética, Design e Cultura Popular;2015
Estética, Design e Cultura Popular;2015
Estética, Design e Cultura Popular;2015
Estética, Design e Cultura Popular;2015
Psicologia, Subjetividades e Cognição;2015
Estética, Design e Cultura Popular;2015
Internet e Política;2015
Psicologia, Subjetividades e Cognição;2015
Estética, Design e Cultura Popular;2015
Marketing e Consumo;2015
Redes Sociais, Contágio e Difusão;2015
Estética, Design e Cultura Popular;2015
Internet e Política;2015
Internet e Política;2015
Psicologia, Subjetividades e Cognição;2015
Teoria da Narrativa e Linguagem;2015
Internet e Política;2015
Teoria da Narrativa e Linguagem;2015
Teoria da Narrativa e Linguagem;2015
Comunidades Virtuais e Subculturas;2015
Redes Sociais, Contágio e Difusão;2015
Outros;2015
Comunidades Virtuais e Subculturas;2015
Teoria da Narrativa e Linguagem;2015
Media Literacy e Educação;2015
Teoria da Narrativa e Linguagem;2015
Internet e Política;2015
Redes Sociais, Contágio e Difusão;2015
Internet e Política;2015
Internet e Política;2015
Internet e Política;2015
Sociobiologia e Filosofia;2015
Sociobiologia e Filosofia;2015
Sociobiologia e Filosofia;2015
Comunidades Virtuais e Subculturas;2015
Comunidades Virtuais e Subculturas;2015
Sociologia dos Afetos e Emoções;2015
Comunidades Virtuais e Subculturas;2015
Sociologia dos Afetos e Emoções;2015
Comunidades Virtuais e Subculturas;2013
Psicologia, Subjetividades e Cognição;2012
Media Literacy e Educação;2013
Redes Sociais, Contágio e Difusão;2015
Psicologia, Subjetividades e Cognição;2012
Estética, Design e Cultura Popular;2014
Internet e Política;2015
Comunidades Virtuais e Subculturas;2015
Comunidades Virtuais e Subculturas;2014
Comunidades Virtuais e Subculturas;2013
Internet e Política;2013
Comunidades Virtuais e Subculturas;2015
Teoria da Narrativa e Linguagem;2015
Marketing e Consumo;2013
Marketing e Consumo;2015
Comunidades Virtuais e Subculturas;2013
Comunidades Virtuais e Subculturas;2013
Comunidades Virtuais e Subculturas;2014
Redes Sociais, Contágio e Difusão;2012
Redes Sociais, Contágio e Difusão;2014
Comunidades Virtuais e Subculturas;2014
Psicologia, Subjetividades e Cognição;2014
Comunidades Virtuais e Subculturas;2014
Comunidades Virtuais e Subculturas;2014
Comunidades Virtuais e Subculturas;2014
Estética, Design e Cultura Popular;2014
Teoria da Narrativa e Linguagem;2013
Internet e Política;2011
Teoria da Narrativa e Linguagem;2015
Teoria da Narrativa e Linguagem;2013
Teoria da Narrativa e Linguagem;2012
Sociobiologia e Filosofia;2009
Sociobiologia e Filosofia;2013
Sociobiologia e Filosofia;2013
Sociobiologia e Filosofia;1982
Teoria da Narrativa e Linguagem;2015
Sociobiologia e Filosofia;2011
Sociobiologia e Filosofia;1995
Comunidades Virtuais e Subculturas;2013
Comunidades Virtuais e Subculturas;2009
Internet e Política;2013
Redes Sociais, Contágio e Difusão;2012
Internet e Política;2013
Teoria da Narrativa e Linguagem;2013
Internet e Política;2012
Internet e Política;2013
Comunidades Virtuais e Subculturas;2011
Internet e Política;2014
Internet e Política;2012
Comunidades Virtuais e Subculturas;2012
Comunidades Virtuais e Subculturas;2008
Comunidades Virtuais e Subculturas;2012
Internet e Política;2009
Internet e Política;2015
Comunidades Virtuais e Subculturas;2011
Internet e Política;2012
Comunidades Virtuais e Subculturas;2012
Comunidades Virtuais e Subculturas;2012
Teoria da Narrativa e Linguagem;2011
Teoria da Narrativa e Linguagem;2005
Internet e Política;2014
Internet e Política;2013
Media Literacy e Educação;2012
Media Literacy e Educação;2012
Estética, Design e Cultura Popular;2014
Teoria da Narrativa e Linguagem;2011
Redes Sociais, Contágio e Difusão;2012
Internet e Política;2013
Teoria da Narrativa e Linguagem;2014
Sociologia dos Afetos e Emoções;2013
Sociobiologia e Filosofia;2006
Comunidades Virtuais e Subculturas;2012
Comunidades Virtuais e Subculturas;2007
Redes Sociais, Contágio e Difusão;2009
Teoria da Narrativa e Linguagem;2014
Teoria da Narrativa e Linguagem;2007
Teoria da Narrativa e Linguagem;2010
Redes Sociais, Contágio e Difusão;2011
Teoria da Narrativa e Linguagem;2012
Media Literacy e Educação;2013
Estética, Design e Cultura Popular;2014
Comunidades Virtuais e Subculturas;2014
Comunidades Virtuais e Subculturas;2014
Media Literacy e Educação;2015
Estética, Design e Cultura Popular;2013
Internet e Política;2011
Redes Sociais, Contágio e Difusão;2006
Redes Sociais, Contágio e Difusão;2007
Comunidades Virtuais e Subculturas;2011
Comunidades Virtuais e Subculturas;2011
Comunidades Virtuais e Subculturas;2012
Media Literacy e Educação;2014
Internet e Política;2007
Marketing e Consumo;2012
Comunidades Virtuais e Subculturas;2014
Internet e Política;2014
Comunidades Virtuais e Subculturas;2014
Internet e Política;2013
Redes Sociais, Contágio e Difusão;2014
Marketing e Consumo;2002
Teoria da Narrativa e Linguagem;2013
Teoria da Narrativa e Linguagem;2014
Teoria da Narrativa e Linguagem;2010
Comunidades Virtuais e Subculturas;2014
Teoria da Narrativa e Linguagem;2012
Marketing e Consumo;2007
Sociologia dos Afetos e Emoções;2010
Media Literacy e Educação;2014
Internet e Política;2009
Sociologia dos Afetos e Emoções;2014
Sociologia dos Afetos e Emoções;2014
Marketing e Consumo;2013
Teoria da Narrativa e Linguagem;2012
Internet e Política;2014
Sociobiologia e Filosofia;2007
Sociologia dos Afetos e Emoções;2014
Outros;2014
Internet e Política;2013
Redes Sociais, Contágio e Difusão;2013
Internet e Política;2011
Internet e Política;2002
Sociologia dos Afetos e Emoções;2001
Comunidades Virtuais e Subculturas;2010
Internet e Política;2010
Internet e Política;2012
Estética, Design e Cultura Popular;2013
Estética, Design e Cultura Popular;2005
Estética, Design e Cultura Popular;2008
Sociologia dos Afetos e Emoções;2012
Estética, Design e Cultura Popular;2014
Estética, Design e Cultura Popular;2014
Estética, Design e Cultura Popular;2014
Estética, Design e Cultura Popular;2014
Teoria da Narrativa e Linguagem;1981
Teoria da Narrativa e Linguagem;2012
Internet e Política;2008
Comunidades Virtuais e Subculturas;2012
Internet e Política;2012
Media Literacy e Educação;2012
Redes Sociais, Contágio e Difusão;2014
Comunidades Virtuais e Subculturas;2008
Estética, Design e Cultura Popular;2014
Teoria da Narrativa e Linguagem;2013
Psicologia, Subjetividades e Cognição;1997
Psicologia, Subjetividades e Cognição;1998
Psicologia, Subjetividades e Cognição;2000
Psicologia, Subjetividades e Cognição;2001
Psicologia, Subjetividades e Cognição;2003
Comunidades Virtuais e Subculturas;2012
Internet e Política;2012
Comunidades Virtuais e Subculturas;2011
Internet e Política;2013
Redes Sociais, Contágio e Difusão;2013
Psicologia, Subjetividades e Cognição;2012
Media Literacy e Educação;2012
Internet e Política;2013
Redes Sociais, Contágio e Difusão;2007
Comunidades Virtuais e Subculturas;2014
Marketing e Consumo;2014
Teoria da Narrativa e Linguagem;2010
Redes Sociais, Contágio e Difusão;2014
Internet e Política;1979
Estética, Design e Cultura Popular;2014
Teoria da Narrativa e Linguagem;2014
Comunidades Virtuais e Subculturas;2014
Redes Sociais, Contágio e Difusão;2006
Comunidades Virtuais e Subculturas;2015
Comunidades Virtuais e Subculturas;2011
Psicologia, Subjetividades e Cognição;2011
Marketing e Consumo;2014
Psicologia, Subjetividades e Cognição;2014
Estética, Design e Cultura Popular;2012
Redes Sociais, Contágio e Difusão;2009
Media Literacy e Educação;2005
Comunidades Virtuais e Subculturas;2015
Comunidades Virtuais e Subculturas;2014
Teoria da Narrativa e Linguagem;2013
Redes Sociais, Contágio e Difusão;2011
Internet e Política;2014
Redes Sociais, Contágio e Difusão;2009
Teoria da Narrativa e Linguagem;2005
Internet e Política;2007
Comunidades Virtuais e Subculturas;2014
Teoria da Narrativa e Linguagem;2009
Teoria da Narrativa e Linguagem;2015
Media Literacy e Educação;2009
Comunidades Virtuais e Subculturas;2010
Teoria da Narrativa e Linguagem;2015
Estética, Design e Cultura Popular;2011
Marketing e Consumo;2012
Internet e Política;2015
Marketing e Consumo;2014
Comunidades Virtuais e Subculturas;2014
Internet e Política;2015
Estética, Design e Cultura Popular;2014
Internet e Política;2015
Media Literacy e Educação;2013
Comunidades Virtuais e Subculturas;2013
Estética, Design e Cultura Popular;2014
Comunidades Virtuais e Subculturas;2011
Internet e Política;2012
Estética, Design e Cultura Popular;2012
Media Literacy e Educação;2011
Estética, Design e Cultura Popular;2005
Internet e Política;2014
Estética, Design e Cultura Popular;2014
Estética, Design e Cultura Popular;2015
Redes Sociais, Contágio e Difusão;2014
Sociologia dos Afetos e Emoções;2001
Redes Sociais, Contágio e Difusão;2014
Sociologia dos Afetos e Emoções;2007
Comunidades Virtuais e Subculturas;2007
Internet e Política;2012
Comunidades Virtuais e Subculturas;2008
Psicologia, Subjetividades e Cognição;2007
Internet e Política;2014
Estética, Design e Cultura Popular;2007
Comunidades Virtuais e Subculturas;2012
Sociobiologia e Filosofia;2008
Internet e Política;1991
Sociologia dos Afetos e Emoções;2011
Estética, Design e Cultura Popular;2013
Teoria da Narrativa e Linguagem;2012
Comunidades Virtuais e Subculturas;2008
Redes Sociais, Contágio e Difusão;2014
Internet e Política;2013
Redes Sociais, Contágio e Difusão;2011
Comunidades Virtuais e Subculturas;2013
Internet e Política;2013
Redes Sociais, Contágio e Difusão;2014
Estética, Design e Cultura Popular;1981
Comunidades Virtuais e Subculturas;2014
Psicologia, Subjetividades e Cognição;1996
Teoria da Narrativa e Linguagem;2010
Comunidades Virtuais e Subculturas;2010
Comunidades Virtuais e Subculturas;2009
Comunidades Virtuais e Subculturas;2008
Sociobiologia e Filosofia;1976
